[2026-07-10T15:17:11.427Z] GET http://localhost:8080/ → 200 (6ms, 27098B)
[2026-07-10T15:17:11.451Z] GET https://cdn.tailwindcss.com/ → pending (?ms, ?B)
[2026-07-10T15:17:11.451Z] GET https://unpkg.com/htmx.org@2.0.4 → pending (?ms, ?B)
[2026-07-10T15:17:12.618Z] GET https://unpkg.com/htmx.org@2.0.4/dist/htmx.min.js → 200 (259ms, 16748B)
[2026-07-10T15:17:12.864Z] GET https://cdn.tailwindcss.com/3.4.17 → pending (?ms, ?B)
[2026-07-10T15:18:47.667Z] GET http://localhost:8080/ → 200 (10ms, 27098B)
[2026-07-10T15:18:47.687Z] GET https://cdn.tailwindcss.com/ → 200 (3ms, -756B)
[2026-07-10T15:18:47.691Z] GET https://unpkg.com/htmx.org@2.0.4 → 301 (?ms, 47B)
[2026-07-10T15:18:47.696Z] GET https://unpkg.com/htmx.org@2.0.4/dist/htmx.min.js → 200 (22ms, -764B)
[2026-07-10T15:19:34.826Z] GET http://localhost:8080/ → 200 (13ms, 27098B)
[2026-07-10T15:19:34.847Z] GET https://cdn.tailwindcss.com/ → 200 (?ms, -756B)
[2026-07-10T15:19:34.848Z] GET https://unpkg.com/htmx.org@2.0.4 → 301 (1ms, 47B)
[2026-07-10T15:19:34.849Z] GET https://unpkg.com/htmx.org@2.0.4/dist/htmx.min.js → 200 (10ms, -764B)
[2026-07-10T15:20:29.738Z] GET http://localhost:8080/ → 200 (2ms, 27098B)
[2026-07-10T15:20:29.747Z] GET https://cdn.tailwindcss.com/ → 200 (?ms, -756B)
[2026-07-10T15:20:29.755Z] GET https://unpkg.com/htmx.org@2.0.4 → 301 (1ms, 47B)
[2026-07-10T15:20:29.757Z] GET https://unpkg.com/htmx.org@2.0.4/dist/htmx.min.js → 200 (2ms, -764B)
[2026-07-10T15:21:21.724Z] GET http://localhost:8080/ → 200 (5ms, 27098B)
[2026-07-10T15:21:21.740Z] GET https://cdn.tailwindcss.com/ → 200 (1ms, -756B)
[2026-07-10T15:21:21.741Z] GET https://unpkg.com/htmx.org@2.0.4 → 301 (?ms, 47B)
[2026-07-10T15:21:21.741Z] GET https://unpkg.com/htmx.org@2.0.4/dist/htmx.min.js → 200 (16ms, -764B)
[2026-07-10T15:21:46.525Z] GET http://localhost:8080/ → 200 (6ms, 27098B)
[2026-07-10T15:21:46.546Z] GET https://cdn.tailwindcss.com/ → 200 (?ms, -756B)
[2026-07-10T15:21:46.547Z] GET https://unpkg.com/htmx.org@2.0.4 → 301 (?ms, 47B)
[2026-07-10T15:21:46.547Z] GET https://unpkg.com/htmx.org@2.0.4/dist/htmx.min.js → 200 (5ms, -764B)
[2026-07-10T15:22:12.245Z] GET http://localhost:8080/ → 200 (5ms, 27098B)
[2026-07-10T15:22:12.268Z] GET https://cdn.tailwindcss.com/ → 200 (?ms, -756B)
[2026-07-10T15:22:12.268Z] GET https://unpkg.com/htmx.org@2.0.4 → 301 (?ms, 47B)
[2026-07-10T15:22:12.269Z] GET https://unpkg.com/htmx.org@2.0.4/dist/htmx.min.js → 200 (8ms, -764B)
[2026-07-10T15:22:43.430Z] GET http://localhost:8080/ → 200 (6ms, 27098B)
[2026-07-10T15:22:43.449Z] GET https://cdn.tailwindcss.com/ → 200 (?ms, -756B)
[2026-07-10T15:22:43.449Z] GET https://unpkg.com/htmx.org@2.0.4 → 301 (?ms, 47B)
[2026-07-10T15:22:43.451Z] GET https://unpkg.com/htmx.org@2.0.4/dist/htmx.min.js → 200 (11ms, -764B)
[2026-07-10T15:22:54.694Z] GET http://localhost:8080/ → 200 (6ms, 27098B)
[2026-07-10T15:22:54.728Z] GET https://cdn.tailwindcss.com/ → 200 (?ms, -756B)
[2026-07-10T15:22:54.729Z] GET https://unpkg.com/htmx.org@2.0.4 → 301 (?ms, 47B)
[2026-07-10T15:22:54.729Z] GET https://unpkg.com/htmx.org@2.0.4/dist/htmx.min.js → 200 (1ms, -764B)
[2026-07-10T15:22:57.344Z] GET http://localhost:8080/member-detail?member_id=1 → 200 (25ms, 12957B)
[2026-07-10T15:22:57.370Z] GET https://cdn.tailwindcss.com/ → 200 (?ms, -756B)
